n_qubits,n_layers,n_params,test_mse_mean,test_mse_std
2,1,4,0.006885827105869505,3.989747097262788e-07
2,2,6,5.6599595862115384e-05,6.7513248260619665e-06
2,3,8,4.602631758751525e-05,2.169907445830974e-06
2,4,10,4.8265984673362595e-05,2.9562160744271484e-06
2,5,12,5.404690030889404e-05,3.473046978388248e-06
3,1,5,0.07875398288039609,1.0077721565232078e-05
3,2,8,0.006886189269498255,1.0929238999414419e-06
3,3,11,0.0013967113297974822,2.9249785712626438e-05
3,4,14,0.0003419401652068389,0.0001433418304229021
3,5,17,0.00018223122631259923,6.467036061149438e-05
4,1,6,0.02238427619761327,1.0763229764850228e-05
4,2,10,0.0005601401859598288,0.0001565553724589189
4,3,14,0.00015408156852100344,0.00011804150364288867
4,4,18,5.377406195339159e-05,3.554187160475159e-06
4,5,22,5.945059869510557e-05,4.994330969896131e-05
