N,n_qubits,n_layers,n_params,test_mse_mean,test_mse_std
4,2,1,4,0.0006271430540708327,2.6240975800367588e-05
4,2,2,6,1.6668688928791565e-05,2.138694438747256e-06
4,2,3,8,1.928141454187013e-05,2.421716622051175e-06
4,2,4,10,1.6263032429240506e-05,1.5051064916153548e-06
4,2,5,12,1.7098809340163377e-05,1.0444242598798183e-06
4,3,1,5,0.004856794364160292,2.0720548320134186e-07
4,3,2,8,0.000608583199308931,1.033180092581525e-08
4,3,3,11,0.00013535941809063987,1.5607010860535078e-06
4,3,4,14,5.314193795900309e-05,2.0126257386680735e-05
4,3,5,17,2.7529868395567847e-05,1.3091635299427564e-05
4,4,1,6,0.0014447554641985486,3.9353874921211056e-05
4,4,2,10,4.1655610369290145e-05,2.628133541623984e-05
4,4,3,14,7.93777211457312e-06,1.735715448690182e-06
4,4,4,18,7.635998463303541e-06,1.9685696696626687e-06
4,4,5,22,2.6944103524407746e-06,5.940564105472469e-07
6,2,1,4,0.0005876705391343142,2.2911822310165777e-08
6,2,2,6,1.3297689252836228e-05,8.056458913915348e-07
6,2,3,8,1.3434743900743999e-05,6.725695039853988e-08
6,2,4,10,1.3192413556596207e-05,7.169524183311049e-07
6,2,5,12,1.3708685513803281e-05,1.1253272990644718e-06
6,3,1,5,0.005054536865230786,4.2437407583155304e-07
6,3,2,8,0.0005876642373630539,3.499384043481794e-08
6,3,3,11,0.0001241191555010799,1.7773304671322955e-06
6,3,4,14,4.47325135625952e-05,1.6784185326948914e-05
6,3,5,17,6.529329412076029e-05,5.648602951141026e-05
6,4,1,6,0.0016215460519328085,0.00020612282664779198
6,4,2,10,2.155544834570044e-05,8.58717613342964e-06
6,4,3,14,9.216477264890683e-06,3.886383248089806e-06
6,4,4,18,8.990000647913118e-06,5.810776385975467e-06
6,4,5,22,1.8563674863334617e-05,2.1392960450358227e-05
8,2,1,4,0.0005890734735777257,9.824012649645421e-09
8,2,2,6,1.2737812834182464e-05,5.308611803922414e-07
8,2,3,8,1.2558452751511807e-05,3.9866350814856076e-07
8,2,4,10,1.2476590435286907e-05,6.791187062992202e-07
8,2,5,12,1.2915336795164343e-05,1.2885918103295528e-06
8,3,1,5,0.005208151415728477,2.568456805613635e-07
8,3,2,8,0.0005890499850864892,4.145330618379984e-08
8,3,3,11,0.00012385330379705668,1.6830253714021624e-06
8,3,4,14,3.446367502896975e-05,1.3795755950202288e-05
8,3,5,17,6.375631297889988e-05,5.548016256920434e-05
8,4,1,6,0.0017986475640062217,0.00018887828804414148
8,4,2,10,1.4492782397726997e-05,6.014902656948545e-06
8,4,3,14,9.391932167178581e-06,3.832011919527932e-06
8,4,4,18,6.8042816905591575e-06,3.3095670535320026e-06
8,4,5,22,2.6643707696568203e-05,3.278639268637759e-05
